name,ga,gf,pos,attsh,defsh,RO16,QF,SF,F,ucl
Napoli,6,20,52.0,17.7,11.5,3,0,0,0,0
Liverpool,6,17,56.8,18.2,9.2,5,4,3,3,1
Porto,7,12,45.3,13.8,11.5,7,3,0,0,0
Brugge,4,7,46.2,8.7,16.8,0,0,0,0,0
Bayern,2,18,58.0,17.8,11.3,13,11,8,4,2
Inter,7,10,47.5,12.2,14.8,4,2,1,1,1
Tottenham,6,8,49.5,12.8,11.7,4,2,1,1,0
Frankfurt,8,7,45.5,10.5,9,0,0,0,0,0
Chelsea,4,10,64.9,15.7,7.3,10,5,3,2,2
ACMilan,7,12,48.3,13.2,12.5,5,1,0,0,0
Madrid,6,15,59.5,19.0,11.5,13,10,10,5,5
Leipzig,9,13,54.3,12.8,10.3,1,1,1,0,0
City,2,14,66.3,18.2,6.2,9,6,3,1,0
Dortmund,5,10,45.1,11.7,13.0,7,3,1,1,0
Benfica,7,16,49.2,13.3,10.5,4,3,0,0,0
PSG,7,16,59.0,13.5,11.5,10,6,2,1,0